,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-calibration,Jupyter Notebook
65,ml-capsules-inverted-attention-routing,Python
66,ml-cifar-10-faster,Python
67,ml-code-switched-speech-translation,Python
68,ml-codeswitching-translations,
69,ml-collegial-ensembles,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cvnets,Python
76,ml-cvpr2019-swd,Python
77,ml-dab,Python
78,ml-data-parameters,Python
79,ml-dataset-decomposition,Python
80,ml-delphi,
81,ml-depth-pro,Python
82,ml-destseg,Python
83,ml-diffusion-alignment-gflownet,Python
84,ml-direct2.5,Python
85,ml-divide-or-conquer,Python
86,ml-dms-dataset,Python
87,ml-dprecs,Jupyter Notebook
88,ml-dr,Python
89,ml-duet,Python
90,ml-entity-deduction-arena,Python
91,ml-entropy-reconstruction,Python
92,ml-envmapnet,Python
93,ml-equivariant-neural-rendering,Jupyter Notebook
94,ml-facelit,Python
95,ml-famae,Python
96,ml-fastvit,Python
97,ml-fct,Python
98,ml-ferret,Python
99,ml-finerecon,Python
100,ml-flair,Jupyter Notebook
101,ml-gaudi,
102,ml-gbc,Python
103,ml-gendered-translation,Ruby
104,ml-gmpi,Python
105,ml-gsm-symbolic,
106,ml-gsn,Python
107,ml-hd-gist,Python
108,ml-heart-rate-models,Python
109,ml-hierarchical-confusion-matrix,TypeScript
110,ml-hugs,Python
111,ml-hypercloning,Python
112,ml-hypersim,Python
113,ml-interactive-data-augmentation,Svelte
114,ml-interspeech2022-phi_rtn,
115,ml-jointnet,Python
116,ml-key-retrieval-code-tasks,Python
117,ml-keyframer,JavaScript
118,ml-kg-mt,Python
119,ml-kge,Python
120,ml-knowledge-conflicts,Python
121,ml-kpconvx,Python
122,ml-live-pose,
123,ml-llarp,Python
124,ml-lucid-datagen,Python
125,ml-mad-bench,Jupyter Notebook
126,ml-mcf,Python
127,ml-mdm,Python
128,ml-mgie,Python
129,ml-mia-bench,Jupyter Notebook
130,ml-MixupMP,Python
131,ml-mkqa,Python
132,ml-mobileclip,Python
133,ml-mobileone,Swift
134,ml-mofi,Python
135,ml-multiple-futures-prediction,Python
136,ml-mycelium,JavaScript
137,ml-ncg,Python
138,ml-negative-sampling,Python
139,ml-neilf,Python
140,ml-neilfpp,Python
141,ml-neuman,Python
142,ml-no-token-left-behind,Jupyter Notebook
143,ml-np-rasp,Python
144,ml-nvas3d,Python
145,ml-ogen,Python
146,ml-pgdvs,Python
147,ml-planner,Python
148,ml-pointconvformer,Python
149,ml-pointersect,Python
